SL NO,District,Location Name As Per List,Location Address,Location Category,Hotspot included in Phase 
1,Thiruvananthapuram,Akkulam childrens park,"Aluvila Rd,Akkulam,Tvm,kerala 695011",Tourist Place,Phase-2
2,Thiruvananthapuram,"Amboori Panchayath Office,","amboori neyyar road, Amboori, Kerala 695505",Panchayat office,Phase-1
3,Thiruvananthapuram,Anad Panchayath Office,"Anad, Kerala 695541 / Post office at Anad Bank Junction",Panchayat office,Phase-1
4,Thiruvananthapuram,Andoorkonam Panchayath Office,"Kaniyapuram, Kerala 695301",Panchayat office,Phase-1
5,Thiruvananthapuram,APJ Abdul Kalam Technological University,"APJ Abdul Kalam Technological University CET Campus, Thiruvananthapuram,Kerala -695016",University/College,Phase-2
6,Thiruvananthapuram,Aruvikkara Dam/ Park,"Aruvikkara, Kerala 695564 , Aruvikkara park",Tourist Place,Phase-2
7,Thiruvananthapuram,Aruvikkara Grama Panchayat Office,"Keltron-Aruvikkara Rd, Aruvikkara, Kerala 695564",Panchayat office,Phase-1
8,Thiruvananthapuram,Aryanadu Bus Stand,"Nedumangad Shorlacode Road, SH3, Cherukulam, Aryanad, Kerala 695542",Bus Stand,Phase-1
9,Thiruvananthapuram,Aryancode Panchayat,"Chempoor Road, Ariyancode, Kerala 695125",Panchayat office,Phase-1
10,Thiruvananthapuram,Athiyannoor panchayath office,"Kamukincode, Kottukal, Kerala 695123",Panchayat office,Phase-2
11,Thiruvananthapuram,Athiyanoor block panchayath office,"Aralumoodu, 695123",Block Office,Phase-1
12,Thiruvananthapuram,Attingal ,"Attingal Municipality, Kerala 695101",Municipal Office,Phase-1
13,Thiruvananthapuram,Attingal Bus Stand,"Attingal, Kerala 695101",Bus Stand,Phase-1
14,Thiruvananthapuram,Attingal Munsif court,"NH 47, Attingal, Kerala 695101",Court,Phase-1
15,Thiruvananthapuram,Ayurveda College,"Pulimoodu, Thiruvananthapuram, Kerala 695001",Hospital,Phase-1
16,Thiruvananthapuram,Ayurveda Marma Hospital- Kanjiramkulam,"Kanjiramkulam, Kerala 695524",Hospital,Phase-1
17,Thiruvananthapuram,Azhoor Grama Panchayat,"Perunguzhy p.o, kovilnada,, Kerala 695305",Panchayat office,Phase-1
18,Thiruvananthapuram,BALARAMAPURAM,"Balaramapuram Libraray,BALARAMAPURAM,Near Police station , Thiruvananthapuram",Library,Phase-2
19,Thiruvananthapuram,Bheemapally,"Towards OLD Road, Behind Valiyathura ,Vettukadu junction,Thiruvananthapuram, Kerala 695008",Govt Office,Phase-2
20,Thiruvananthapuram,Chalai Market,"Kerala Abkari Workers Welfare Fund Board, Thiruvananthapuram, Kerala 695036",Public Place,Phase-2
21,Thiruvananthapuram,Chemmaruthy Grama Panchayat,"Chemmaruthy, Kerala 695145",Panchayat office,Phase-1
22,Thiruvananthapuram,Chenkal Grama Panchayat,"Udiyankulangara, Kerala 695122",Panchayat office,Phase-1
23,Thiruvananthapuram,Chirayinkeezh Grama Panchayat,"Chirayinkeezhu post office Chirayinkeezhu, Kerala 695304",Panchayat office,Phase-1
24,Thiruvananthapuram,Chirayinkeezhu Block Panchayath office,"Chirayinkeezhu - Korani Rd, Kizhuvalam, Kerala 695104",Block Office,Phase-1
25,Thiruvananthapuram,Chirayinkeezhu Taluk Hospital,"Attingal Chirayinkeezhu Road, Chirayinkeezhu, Kerala 695304",Hospital,Phase-1
26,Thiruvananthapuram,Chirayinkeezhu Taluk Office,"Mini Civil Station, Chirayinkeezhu, Thiruvananthapuram, Kerala 695101",Taluk Office,Phase-1
27,Thiruvananthapuram,Civil Station 1,"Civil Station, Kudappanakunnu, Thiruvananthapuram, Kerala 695043",Civi Station/Mini Civil station,Phase-1
28,Thiruvananthapuram,Commissioner office thycaud,"police Ground, CV Raman Pillai Rd, Thycaud, Thiruvananthapuram, Kerala 695014",Govt Office,Phase-1
29,Thiruvananthapuram,Corporation office trivandrum,"Kaimanam Thiruvallam Rd, Thiruvallam, Thiruvananthapuram, Kerala 695027",Corporation  Office,Phase-2
30,Thiruvananthapuram,"Corporation office, Trivandrum","Corporation office, Trivandrum Thiruvananthapuram, Kerala 695033",Corporation  Office,Phase-1
31,Thiruvananthapuram,"Deshabimani Grandhashala, Nellimoodu","Dheshabhi Vardhini Grandhashala,Nellimoodu 695524",Library,Phase-2
32,Thiruvananthapuram,"District Model Hospital, Peroorkada","Peroorkada, Thiruvananthapuram, Kerala 695013",Hospital,Phase-1
33,Thiruvananthapuram,East Fort Bus stand,"Mahathma Gandhi Rd, East Fort, Pazhavangadi, Thiruvananthapuram, Kerala 695036",Bus Stand,Phase-1
34,Thiruvananthapuram,Edava Grama Panchayat,"Panchayath Office Edava, Varkala Edava Kappil Road, Vettakada, Edava, Kerala",Panchayat office,Phase-2
35,Thiruvananthapuram,Family health centre Karakulam,"near travancore gold, Vattappara, Kerala-695028",Hospital,Phase-2
36,Thiruvananthapuram,Fort Hospital," East Fort, Pazhavangadi, Thiruvananthapuram, Kerala 695023",Hospital,Phase-1
37,Thiruvananthapuram,Gandhi Park- East fort,"East Fort, Pazhavangadi Thiruvananthapuram, Kerala 695036",Park,Phase-2
38,Thiruvananthapuram,General Hospital,"Thiruvananthapuram, Kerala 695035",Hospital,Phase-1
39,Thiruvananthapuram,Government Taluk Hospital Varkala,"Temple Rd, Varkala Maithanam Town, Thiruvananthapuram, Kerala 695141",Hospital,Phase-2
40,Thiruvananthapuram,Govt. Homeopathic Medical college Hospital Iranimuttom,"Iranimuttom, Manacaud P.O, Attukal, Chiramukku, Thiruvananthapuram, Kerala 695009",Hospital,Phase-1
41,Thiruvananthapuram,Kadakkavoor Grama Panchayat,"Alamcode Kadakkavoor Anjengo Road, Kadakkavoor, Kerala 695306",Panchayat office,Phase-1
42,Thiruvananthapuram,Kadinamkulam Panchayath Office,"Vettu Rd, Menamkulam, Kerala 695301",Panchayat office,Phase-1
43,Thiruvananthapuram,Kallara Grama Panchayath Office,"Kallara , Kallara post office opp to market 695608",Panchayat office,Phase-1
44,Thiruvananthapuram,Kallikkad Grama Panchayat,"Thiruvananthapuram, Kerala 695001",Panchayat office,Phase-1
45,Thiruvananthapuram,Kalliyoor Grama Panchayat,"Nemom Punnamoodu Rd, Kalliyoor, Kerala 695042",Panchayat office,Phase-1
46,Thiruvananthapuram,Kanakakunnu Palace,"Thiruvananthapuram, Kerala 695033",Tourist Place,Phase-1
47,Thiruvananthapuram,Kaniyapuram Bus Stand,"Salem - Kochi Hwy, Kaniyapuram, Kerala 695301",Bus Stand,Phase-1
48,Thiruvananthapuram,KANJIRAMKULAM Junction,"Kanjiramkulam Govt School, Kanjiramkulam Pulluvila Road, Kanjiramkulam, Kerala",Public Place,Phase-2
49,Thiruvananthapuram,Kappil boat club,"Priyadarshani boat club,Kappil,,kerala 695311",Tourist Place,Phase-2
50,Thiruvananthapuram,Karakulam Grama Panchayat,"Nedumangad Aruvikkara rd,Karakulam,Thiruanathapuram,Kerala 695564",Panchayat office,Phase-1
51,Thiruvananthapuram,Karode Grama Panchayat office,"Karode Grama Panchayat office,Kulathoor, Kerala 695506",Panchayat office,Phase-1
52,Thiruvananthapuram,Karumkulam Grama Panchayat,"Lourdpuram Road, Puthiyathura, Kerala 695526",Panchayat office,Phase-2
53,Thiruvananthapuram,Kattakada Bus Stand,"Thiruvananthapuram - Neyyar Dam Rd, Kattakkada, Kerala 695572",Bus Stand,Phase-1
54,Thiruvananthapuram,Kattakada Gramapanchayat,"College Rd, Kattakkada, Thiruvananthapuram, Kerala 695572",Panchayat office,Phase-1
55,Thiruvananthapuram,Kattakkada Community Health Center,"Kattakkada Thaluk Hospital,Thiruvananthapuram - Neyyar Dam Rd, Kattakkada, Kerala 695572",Hospital,Phase-2
56,Thiruvananthapuram,Kazhakootam -Technopark,"Technopark entrance ,Technopark Campus, Kazhakkoottam, Kerala 695581",Public Place,Phase-2
57,Thiruvananthapuram,Keltron Junction,"Karakulam Farmers Social Welfare Sahakarana Sangham, Keltron Junction, Karakulam, Thiruvananthapuram, Kerala",Govt Office,Phase-2
58,Thiruvananthapuram,"Kerala University, Palayam","Palayam, Thiruvananthapuram, Kerala 695034",University/College,Phase-1
59,Thiruvananthapuram,Kilimanoor Bus Stand,"Old MC Rd, Kilimanoor, Kerala 695601",Bus Stand,Phase-1
60,Thiruvananthapuram,Kilimanoor Panchayath,"Near Govt LP School, Kilimanoor, Kerala 695601",Panchayat office,Phase-1
61,Thiruvananthapuram,Killipalam,"Tax Towers , Karamana, Thiruvananthapuram, Kerala 695002",Govt Office,Phase-1
62,Thiruvananthapuram,Kollayil Grama Panchayat,"Dhanuvechapuram, Kerala,695503",Panchayat office,Phase-1
63,Thiruvananthapuram,KOTTUKAL,"Kottukal Grama Panchayath Office, Chappath Punnakkulam Road, Kottukal, Vizhinjam, Kottukal, Kerala",Panchayat office,Phase-2
64,Thiruvananthapuram,Kovalam Beach,"Beach Rd, Kovalam, Thiruvananthapuram, Kerala 695527",Govt Office,Phase-2
65,Thiruvananthapuram,Kowdiar - Park,"Vivekananda/Kowdiar Park, Kowdiar P.O, Thiruvananthapuram, Kerala 695003",Park,Phase-1
66,Thiruvananthapuram,KSRTC Chief Office CO,"Transport Bhavan, East Fort, Pazhavangadi, Thiruvananthapuram, Kerala 695023",Bus stand,Phase-2
67,Thiruvananthapuram,KSRTC Peroorkada Sub Depot,"Near Government Hospital Road, Indira Nagar, Peroorkada, Thiruvananthapuram, Kerala 695005",Bus stand,Phase-2
68,Thiruvananthapuram,Kulathur Grama Panchayat office,"Viraly, Kulathoor, Kerala 695506",Panchayat office,Phase-1
69,Thiruvananthapuram,Kunnathukal Grama Panchayat,Thiruvananthapuram - 695504,Panchayat office,Phase-1
70,Thiruvananthapuram,Kuttichal Grama Panchayat,Paruthipally Government LP School kuttichal Kerala 695574,Panchayat office,Phase-1
71,Thiruvananthapuram,Madavoor Grama Panchayat,"Paripally - Madathara Rd, Madavoor, Kerala 695602",Panchayat office,Phase-1
72,Thiruvananthapuram,Malayinkeezhu Panchayathu office,"Malayinkeezhu Grama Panchayath Office, Malayinkeezh, Kerala",Panchayat office,Phase-2
73,Thiruvananthapuram,Mangalapuram Grama Panchayat Office,"Pothencode Murikkumpuzha Rd, Mangalapuram, Kerala 695317",Panchayat office,Phase-1
74,Thiruvananthapuram,Manickal Panchayat,"Manickal Village office, Main Central Rd, Pirappancode, Manikkal, Kerala 695607",Panchayat office,Phase-1
75,Thiruvananthapuram,Maranallor Grama Panchayath,"Arumaloor, Kerala 695512",Panchayat office,Phase-1
76,Thiruvananthapuram,Medical College ,"Medical College  Principal Office,Medical College Campus, Thiruvananthapuram, Kerala 695011",Hospital,Phase-2
77,Thiruvananthapuram,"Medical College 1, Main","Thiruvananthapuram, Kerala 695011",Hospital,Phase-1
78,Thiruvananthapuram,Medical College Bus stand,"Corporation bus stand Opposite medical college, near ganapathi temple, Near BSNL office, Medical college junction",Bus Stand,Phase-2
79,Thiruvananthapuram,"Mini civil sation, alummood","Mini civil sation, alummood, Neyyattinkara, tvpm-695121",Civi Station/Mini Civil station,Phase-2
80,Thiruvananthapuram,"Mini civil station, SH1 , kilimanoor","Mini civil station, SH1 , kilimanoor,TVPM-695601",Civi Station/Mini Civil station,Phase-2
81,Thiruvananthapuram,"Minicivil sattion, Parassala Vellarada Rd","Minicivil sattion, Parassala Vellarada Rd, Parassala, tvpm-695502",Civi Station/Mini Civil station,Phase-2
82,Thiruvananthapuram,Mudakkal Grama Panchayat,"Mudakkal P.O. Avanavanchery (Via), Valakkadu, Elamba-mudakkal, Kerala 695103",Panchayat office,Phase-1
83,Thiruvananthapuram,Museum Park-1,"Napier museum ,Thiruvananthapuram, Kerala 695033",Tourist Place,Phase-2
84,Thiruvananthapuram,Museum Park-2,"Napier museum ,Thiruvananthapuram, Kerala 695033",Tourist Place,Phase-2
85,Thiruvananthapuram,Museum Park-3,"Napier museum ,Thiruvananthapuram, Kerala 695033",Tourist Place,Phase-2
86,Thiruvananthapuram,Nagaroor Grama Panchayat,"Chemmarathumukku, Kallambalam Chemmarthu muku Rd, Kerala 695618",Panchayat office,Phase-1
87,Thiruvananthapuram,Navaikulam Panchayath,"Navaikulam Pallikkal Rd, Navaikulam, Kerala 695603",Panchayat office,Phase-1
88,Thiruvananthapuram,Nedumangad Block Development Office,"Nedumangad, Kerala 695561",Block Office,Phase-1
89,Thiruvananthapuram,Nedumangad Bus Stand,"Surya Road, Pazhavadi, Nedumangad, Kerala 695541",Bus Stand,Phase-1
90,Thiruvananthapuram,Nedumangad Munsif Court,"Court Complex, Nedumangad Town Rd, Pazhavadi, Nedumangad, Kerala 695541",Court,Phase-1
91,Thiruvananthapuram,Nedumangad Taluk Office,"Nedumangad Town Road, Pazhavadi, Nedumangad, Kerala 695541",Taluk Office,Phase-1
92,Thiruvananthapuram,Nellanad Gramapanchayath Office,"Nellanad Grama panchayath office, Venjarammodu Jnctn 695607 / Venjaramoodu Govt Higher Secondary School",Panchayat office,Phase-1
93,Thiruvananthapuram,Nemom Block Panchayat office,"Pongummoodu Rd, Malayinkeezh, Kerala 695571",Block Office,Phase-1
94,Thiruvananthapuram,Nemom Taluk Hospital,"Vellayani Punnamoodu Road, Santhivila, Nemom, Kerala 695020",Hospital,Phase-1
95,Thiruvananthapuram,Nemom Village,"Village office Nemom, Trivandrum Kerala 695020",Village Office,Phase-2
96,Thiruvananthapuram,Neyyatinkara Bus stand,"
Alummoodu, Neyyattinkara, Kerala 695121
",Bus Stand,Phase-1
97,Thiruvananthapuram,Neyyatinkara General Hospital,"Taluk hospital,Neyyattinkara, Kerala 695121",Hospital,Phase-2
98,Thiruvananthapuram,Neyyatinkara Munsif Court,"Neyyattinkara Court Complex, Alummoodu, Neyyattinkara, Kerala 695121",Court,Phase-2
99,Thiruvananthapuram,Neyyatinkara Taluk Office,"Alummoodu, Neyyattinkara, Kerala 695121",Taluk Office,Phase-1
100,Thiruvananthapuram,Neyyattinkara Muncipality,"
TB Junction-Hospital Jct Rd, Alummoodu, Neyyattinkara, Kerala 695121
",Municipal Office,Phase-2
101,Thiruvananthapuram,Ottasekharamangalam,"Perumkadavila Ottasekharamangalam Rd, Keezharoor, Kerala 695125",Panchayat office,Phase-1
102,Thiruvananthapuram,Ottoor Grama Panchayat,"Ottoor - Parthukonam Rd, Ottoor, Kerala 695144",Panchayat office,Phase-1
103,Thiruvananthapuram,PALLICHAL,"Krishi bhavan,Gurudevanager Pallichal, Kerala-695020",Panchayat office,Phase-2
104,Thiruvananthapuram,Pallickal Grama Panchayat,"Varkala - Madathara Rd, Pallikkal, Kerala 695602",Panchayat office,Phase-1
105,Thiruvananthapuram,Palode Bus Stand,"Palode, Kerala 695563",Bus Stand,Phase-1
106,Thiruvananthapuram,Panavoor Grama Panchayat,"Panavoor, Kerala 695568 / Panavoor Post office",Panchayat office,Phase-1
107,Thiruvananthapuram,Pangode Grama Panchayath Office,"Pangode Post office ,Pangodu, Kerala 695609",Panchayat office,Phase-1
108,Thiruvananthapuram,PAPPANAMCODE Bus Stand,"Pappanamcode, Thiruvananthapuram, Kerala 695018",Bus Stand,Phase-1
109,Thiruvananthapuram,Parassala block panchayath office,"Parassala Vellarada Rd, Parassala, Kerala 695502",Block Office,Phase-1
110,Thiruvananthapuram,Parassala Bus Stand/Parassala junction,"Salem - Kochi Hwy, Parassala, Kerala 695502/telephone exchange",Bus Stand,Phase-1
111,Thiruvananthapuram,Parassala Grama Panchayat office,"Parassala Vellarada Rd, Parassala, Kerala 695502",Panchayat office,Phase-1
112,Thiruvananthapuram,Pattom ,"District Panchayat Office, Pattom Thiruvananthapuram, Kerala 695004",Panchayat office,Phase-1
113,Thiruvananthapuram,Peringamala Panchayat office,Perigamala 695563,Panchayat office,Phase-1
114,Thiruvananthapuram,Peroorkada,"Police Station Peroorkada, Thiruvananthapuram, Kerala 695013",Police Station,Phase-1
115,Thiruvananthapuram,Perumathura,"Fishing Auction Hall, Muthala Pozhi Bridge, Perumathura, Kerala 695303",Tourist Place,Phase-2
116,Thiruvananthapuram,Perumkadavila Panchayat,"Perumkadavila, Kerala 695126",Panchayat office,Phase-1
117,Thiruvananthapuram,Pettah Junction,"Pettah Police Station ,TC 14/368, Palayam Airport Rd, Nallumuku, Pettah, Thiruvananthapuram, Kerala 695024",Police Station,Phase-2
118,Thiruvananthapuram,PMG,"Kerala University Students centre/ PMG Palayam, Thiruvananthapuram, Kerala 695033",Govt Office,Phase-1
119,Thiruvananthapuram,Police Cantonment ,"Police contolment station & control room,palayam,TVM,Kerala 695001",Police Station,Phase-1
120,Thiruvananthapuram,Ponmudi,"Ponmudi Amenity Centre/ Govt guest house Ponmudi, Kerala 695563",Tourist Place,Phase-1
121,Thiruvananthapuram,Poojapura Saraswathi Mandapom,"Poojapura Mandapom, Poojapura, Thiruvananthapuram Kerala 695012",Public place,Phase-1
122,Thiruvananthapuram,Poovachal Grama Panchayat,"Panchayath Jn., Kattakkada Kottoor Rd, Poovachal, Kerala 695575",Panchayat office,Phase-1
123,Thiruvananthapuram,Poovar bus stand,"Poovar bus stand-New Building Poovar, Kerala 695525",Bus Stand,Phase-1
124,Thiruvananthapuram,Poovar Grama Panchayat,"Poovar, Kerala 695525",Panchayat office,Phase-1
125,Thiruvananthapuram,Pothencode Bus Stand,"Pothencode, Kerala 695584",Bus Stand,Phase-1
126,Thiruvananthapuram,Pullampara Grama Panchayat,"Panavoor - Venjaramood Rd, Thempammoodu, Kerala 695607",Panchayat office,Phase-1
127,Thiruvananthapuram,PUTHENTHOPE,"JAI HIND LIBRARY(FIRST GRADE) PUTHENTHOPE, PUTHENTHOPE P.O, PIN 695 586",Library,Phase-2
128,Thiruvananthapuram,"Saphlyam Complex/ VJT Hall , Palayam","Palayam, Thiruvananthapuram, Kerala 695034",Public place,Phase-2
129,Thiruvananthapuram,Shanghumugham Fish landing center,"Valiathura-Muttachara rd,Vallakkadavu,Thiruvanthapuram,Kerala,695008, ",Fisheries Department,Phase-2
130,Thiruvananthapuram,Shangumugham,"Kerala sports council indoor stadium Shanghumugham Beach,Kerala 695008",Tourist Place,Phase-2
131,Thiruvananthapuram,Shantigiri,"Santhigiri Ashram, Santhigiri, Pothencode, Kerala",Tourist Place,Phase-2
132,Thiruvananthapuram,Sivagiri,"Sivagiri library, Sivagiri Rd, Varkala, Kerala 695141",Tourist Place,Phase-1
133,Thiruvananthapuram,SNV Library,"Pallichal - Vizhinjam Rd, Peringammala, Kalliyoor, Kerala 42",Library,Phase-2
134,Thiruvananthapuram,State Central Library,"Senate House Campus, Palayam, Thiruvananthapuram, Kerala 695033",Library,Phase-1
135,Thiruvananthapuram,"swaraj bhavan complex, nanthancode junction,","swaraj bhavan complex, nanthancode junction,",Govt Office,Phase-2
136,Thiruvananthapuram,Taluk Hospital Nedumangadu,"SH3, Pazhavadi, Nedumangad, Kerala 695541",Hospital,Phase-1
137,Thiruvananthapuram,TH Attingal,"Attingal Govt hospital,SH 47 Kerala 695103",Hospital,Phase-2
138,Thiruvananthapuram,Thampanoor KSRTC Terminal,"Thampanoor, Thiruvananthapuram, Kerala 695014",Bus Stand,Phase-1
139,Thiruvananthapuram,Thampanoor KSRTC Terminal-2,"Thampanoor, Thiruvananthapuram, Kerala 695014",Bus Stand,Phase-2
140,Thiruvananthapuram,Thirupuram Grama Panchayat,"Kanjiramkulam Rd, Athiyannur, Kerala 695133",Panchayat office,Phase-1
141,Thiruvananthapuram,Thiruvananthapuram Taluk Office,"East Fort, Taluk Office Thiruvananthapuram, Kerala 695023",Taluk Office,Phase-1
142,Thiruvananthapuram,Tholicode Grama Panchayath,"SH45, Tholicode, Kerala 695547/ Tholicode post office/ Govt Higher secondary school",Panchayat office,Phase-1
143,Thiruvananthapuram,THQH  Parassala,"Govt Taluk HospitalParassala, National highway 47,Parassala,Thiruvananthapuram,Kerala 695001",Hospital,Phase-2
144,Thiruvananthapuram,Thycaud Hospital,"Thycaud, Thiruvananthapuram, Kerala 695014",Hospital,Phase-1
145,Thiruvananthapuram,"TRAVANCORE DEVASAWOM BOARD,THIRUVANATHAPURAM","The Chief Engineer (General ),TRAVANCORE DEVASAWOM BOARD,THIRUVANATHAPURAM",Govt Office,Phase-2
146,Thiruvananthapuram,Tsunami park-SHGM,"Sanghumuham, kannanthura,Tvm, kerala 695008",Tourist Place,Phase-2
147,Thiruvananthapuram,University Library,"Palayam, Thiruvananthapuram, Kerala 695034",Library,Phase-1
148,Thiruvananthapuram,"University of Kerala , Karyavattom","Karyavattom, Thiruvananthapuram, Kerala 695581",University/College,Phase-2
149,Thiruvananthapuram,Uzhamalakkal Panchayath,Kulappada Post office Junction 695542,Panchayat office,Phase-1
150,Thiruvananthapuram,Vakkom Grama Panchayat,"Vakkom Main Road, Vakkom, Kerala 695309",Panchayat office,Phase-1
151,Thiruvananthapuram,Valiathura Fish landing center,"Palayam Airpor-Valiathura Rd,Vallakkadavu,Thiruvanthapuram,Kerala,695008",Fisheries Department,Phase-2
152,Thiruvananthapuram,Vamanapuram Block Panchayath Office,"Vattappara - Thattathumala Rd, Venjaramoodu, Kerala 695607",Block Office,Phase-1
153,Thiruvananthapuram,Vamanapuram Panchayath Office,"Vamanapuram, Kerala 695606",Panchayat office,Phase-1
154,Thiruvananthapuram,Vanchiyoor District Court,"Vanchiyoor, Thiruvananthapuram, Kerala 695035",Court,Phase-1
155,Thiruvananthapuram,Varakala Papanasam beach,"Varkala Aquarium/Government Guest house Varkala, Kerala 695141",Tourist Place,Phase-1
156,Thiruvananthapuram,Varkala ,"Varkala, block panchayat,Vettoor-cherunniyoor, Kerala 695142",Block Office,Phase-1
157,Thiruvananthapuram,Varkala Maidanam Muncipal Park,"Varkala Maidanam Muncipal Park/ Police station Varkala, Thiruvananthapuram, Kerala 695141",Park,Phase-1
158,Thiruvananthapuram,Varkala Municipality ,"Maithanam, Varkala, Thiruvananthapuram, Kerala 695141",Municipal Office,Phase-2
159,Thiruvananthapuram,Varkala Taluk Office,"Court Rd, Varkala, Kerala 695142",Taluk Office,Phase-2
160,Thiruvananthapuram,Vattapara Junction,"Police Station,Vattapara Kerala 695028",Police Station,Phase-2
161,Thiruvananthapuram,Vattiyoorkavu,"Village office ,Manchadi Moodu, Thiruvananthapuram, Kerala 695013",Village Office,Phase-2
162,Thiruvananthapuram,Veli Tourist Village,"Kerala 695021, KTDC restaurant",Tourist Place,Phase-2
163,Thiruvananthapuram,Vellanad Bus Stand,"Aryanad -Vellanad Rd, Vellanad, Kerala 695542",Bus Stand,Phase-1
164,Thiruvananthapuram,Vellanad Grama Panchayat,"Vellanad, Kerala 695543",Panchayat office,Phase-1
165,Thiruvananthapuram,Vellanadu Block Panchayath Office,"Vellanad, Kerala 695543",Block Office,Phase-1
166,Thiruvananthapuram,Vellarada Bus Stand,"Vellarada, Kerala 695505",Bus Stand,Phase-1
167,Thiruvananthapuram,Vellarada Grama Panchayat,"Parassala Vellarada Rd, Kerala 695505",Panchayat office,Phase-1
168,Thiruvananthapuram,Vellayambalam,"Saankethika, near EPF Office, P.O, Pattom, Thiruvananthapuram, Kerala 695004",Govt Office,Phase-1
169,Thiruvananthapuram,Vembayam Grama Panchayat,"Vettinad - Velavoor Rd, Kerala 695615",Panchayat office,Phase-1
170,Thiruvananthapuram,Venganoor,"Venganoor Grama Panchayattu office, Vizhinjam, Venganoor, Kerala, 695523",Panchayat office,Phase-2
171,Thiruvananthapuram,Venjaramoodu Bus Stand,"Venjaramoodu, Kerala 695607",Bus Stand,Phase-1
172,Thiruvananthapuram,Vettoor Grama Panchayat,"Vettor G P, Vettoor-cherunniyoor, Vettoor P.O Kerala 695312",Panchayat office,Phase-1
173,Thiruvananthapuram,Vikas Bhavan Bus Stand,"
Vikas Ln, PMG, Thiruvananthapuram, Kerala 695033
",Bus Stand,Phase-1
174,Thiruvananthapuram,Vilappil Grama Panchayath Office,"Peyad, Kerala 695573",Panchayat office,Phase-1
175,Thiruvananthapuram,Vilavoorkal,"Malayam Post office Malayam, Kerala 695571",Panchayat office,Phase-1
176,Thiruvananthapuram,Village office kazhakutaam,"Opposite A.J. Hospital, Kazhakkoottam, Thiruvananthapuram, Kerala 695582",Village Office,Phase-2
177,Thiruvananthapuram,Village office sreekarayam junction,"poongumoodu village office,sreekaryam junction,Thiruvananthapuram, Kerala 695017",Village Office,Phase-2
178,Thiruvananthapuram,Vithura Bus Stand,"SH45, Theviyode, Vithura, Kerala 695551",Bus Stand,Phase-1
179,Thiruvananthapuram,Vithura Grama Panchayat,"PWD Guest House / Post office Vithura, Kerala 695551",Public place,Phase-1
180,Thiruvananthapuram,Vizhinjam Bus Stand,"Vizhinjam, Kovalam, Kerala 695521",Bus Stand,Phase-1
181,Thiruvananthapuram,Vizhinjam Fish landing center,"Near fish landing center, Vizhinjam fish market area, Vizhinjam",Fisheries Department,Phase-2
182,Thiruvananthapuram,Vizhinjam Grama Panchayat,"vizhinjam corperation office,vizhinjam junction,kerala",Panchayat office,Phase-2
183,Thiruvananthapuram,"World Market , Anayara","Kerala State Farmer's Debt Relief Commission, Anayara, Kochuveli, Thiruvananthapuram, Kerala 695029",Market,Phase-1
184,Thiruvananthapuram,Yuvajana Sangam Library & reading Room,"Edagramam, Karumam P.O, Thiruvananthapuram -695 002",Library,Phase-2
185,Kollam,"KSRTC Bus stand, Karunagappally","KSRTC Bus stand,
 Karunagappally-690518",Bus Stand,Phase-1
186,Kollam,"Block Panchayath office, Chittumala","Block Panchayath office, Chittumala,East Kallada,691502",Block Office,Phase-1
187,Kollam,"Panchayath Office,Perayam","Perayam Grama Panchayath,Mulavana,690503",Panchayat office,Phase-1
188,Kollam,"panchayath Office,Elampallor","panchayath Office,Elampallor,691501",Panchayat office,Phase-1
189,Kollam,DIET kottarakkara,"DIET kottarakkara,Kerala,691506",Govt Office,Phase-1
190,Kollam,"Village Office,kareepra","village office kareepra,691509",Village Office,Phase-1
191,Kollam,"block Panchayath office, mughathala","block Panchayath office, mughathala,691577",Block Office,Phase-1
192,Kollam,"Nilamel Panchayat 
 Office","Main Central Rd, Nilamel,
  Kerala 691536",Panchayat office,Phase-1
193,Kollam,"Thalavoor Panchayath Office,Randalumoodu","Gramapanchayath Office,Thalavoor P.O,Randalumood,691508",Panchayat office,Phase-1
194,Kollam,"Akshaya Centre ,Melila","Near Thangasherry East, Thangassery, Kollam, Kerala  69I007",Govt Office,Phase-1
195,Kollam,"Panchayath Office,Edamulakkal","Edamulakkal Gramapanchayath,Edamulakkal P.O,Kollam-691306",Panchayat office,Phase-1
196,Kollam,"Panchayath Office, Kulathupuzha","Kulathupuzha Gramapanchayath,Kulathupuzha,691310",Panchayat office,Phase-1
197,Kollam,"Panchayath Office,Aryancavu","Aryancavu Grama Panchayath,Kazhuthurutty P.O,Aryancavu,691309",Panchayat office,Phase-1
198,Kollam,Civil Station,"North Block, Civil Station,
 Kollam-691013",Civi Station/Mini Civil station,Phase-1
199,Kollam,Civil Station,"South Block, Civil Station,
 Kollam-691013",Civi Station/Mini Civil station,Phase-1
200,Kollam,Civil Station,"East Block, Civil Station,
 Kollam-691014",Civi Station/Mini Civil station,Phase-1
201,Kollam,"Kerala Building & 
 Construction Workers
  Welfare Board Kollam","West Of Civil Station,Kollam, Kerala.691013",Govt Office,Phase-1
202,Kollam,"The Quilon Public Library 
 & Research Centre","Karbala, Kollam, Kerala 691001",Library,Phase-1
203,Kollam,Friends kendram,"Karbala, Kollam- 691001",Govt Office,Phase-1
204,Kollam,BSNL Chavara,"Opposite Chavara pvt Bus Stand
 Chavara 691583",Public Place,Phase-1
205,Kollam,BSNL Bhavan Vellayittambalam,"Vellayittambalam
 Kollam 691012",Public Place,Phase-1
