SL NO,District,Location Name As Per List,Location Address,Location Category,Hotspot included in Phase 
1277,Palakkad,"Grameena Vayanasala, Maruthur","Maruthur PO, 679306",Library,Phase-2
1278,Palakkad,K.T.RAVUNNIMENON SMARAKA VAYANASALA(A GRADE LIBRARY),"KALLADIPATTA P.O, PATTAMBI VIA, ONGALLUR, PIN - 679313",Library,Phase-2
1279,Palakkad,Municipal Bus Stand Reference Library,"Reference Library,Municipal Bus Stand,Ottapalam -679101",Library,Phase-2
1280,Palakkad,Mini Civil Station Kanniyampuram,"Mini Civil Station,Kanniyampuram,Ottapalam-679104",Civi Station/Mini Civil station,Phase-2
1281,Palakkad,"NSS College ,Palapuram","NSS College ,Palappuram-679103",University/College,Phase-2
1282,Palakkad,Mini Civil Station Near Pattambi Municipality,"Near Pattambi Municipality, Pattambi",Civi Station/Mini Civil station,Phase-2
1283,Palakkad,Govt. Hospital Near Pattambi Railway Station,"Near Pattambi Railway Station, Pattambi",Hospital,Phase-2
1284,Palakkad,KODUNTHIRAPULLY ,"KODUNTHIRAPULLY BUS STOP, Melmuri Kottayi Road, Kodunthirapully, 678004",Bus Stand,Phase-2
1285,Palakkad,Pookkottukavu ,"Pookkottukalikavu Bus Stop,Kadambur(P.O),Palakkad(D.T),KERALA,PIN:679515",Library,Phase-2
1286,Palakkad,Munnurkode,"Javahar Jwothi Arts & Sports Club Laibrary ,Munnurkode(P.O),Palakkad(DT),Kerala,PIN:679502",Library,Phase-2
1287,Palakkad,Kalluvazhi,"Prabhatham Vayanasala,Kalluvazhi(P.O),Palakkad(DT),KERALA,PIN:679514",Library,Phase-2
1288,Palakkad,Industrial Estate Junction(Village office),"Industrial Estate Junction, Puduppariyaram Grama Panchayat, Palakkad - 678731",Govt Office,Phase-2
1289,Palakkad,Sathrapadi Junction(veterinary hospital),Kanjikode P.O - 678621,Hospital,Phase-2
1290,Palakkad,Shornur Bus Stand,Shornur Bus Stand,Bus Stand,Phase-2
1291,Palakkad,Govt. Hospital Shornur,"Govt Hospital, Shornur, 679121",Hospital,Phase-2
1292,Palakkad,Shornur Municipality,"Municipality Office, Shornur, 679121",Municipal Office,Phase-2
1293,Palakkad,Bappuji park,"Bappuji park, 679513",Park,Phase-2
1294,Palakkad,"Sreekrishnapuram 
  Engineering college","Sreekrishnapuram 
  Engineering college",University/College,Phase-2
1295,Palakkad,Thachampara Junction(KSEB OFFICE),"Thachampara.PO,Palakkad-678593",Govt Office,Phase-2
1296,Palakkad,NHANGATTIRI LIBRARY,"NHANGATTIRI LIBRARY, NHANGATTIRI POST, 679303.",Library,Phase-2
1297,Palakkad,THRITHALA GOVT. COLLEGE,"Goverment Arts and Science college Thrithala,Mala PO,Koottand,Pin-679534",University/College,Phase-2
1298,Palakkad,"Vadakkenchery Grama Panchayat
  Priyadarsini Bus stand","Priyadarsini Bus stand
  Vadakkenchery 678683",Bus Stand,Phase-2
1299,Palakkad,Pattathalachi junction(hospital),"Pattthalachi Jn,Vadavannur grama Panchayath",Hospital,Phase-2
1300,Palakkad,VANIYAMKULAM BUS STAND,"Vaniyamkulam town ,vaniyamkulam bus stand ,ottapalam (po) ,palakkad, pin. 679522",Hospital,Phase-2
1301,Palakkad,MANISSERY BUSTAND,"Manisseri post office,Vijayagiri building,Near East Manissery Bus stop,Manisseri PO,Palakkad ,Kerala,Pin 679335",Post Office,Phase-2
1302,Palakkad,Vilayur Center(registration office),"Vilayur P.O, Pattambi via, Palakkad, 679309",Govt Office,Phase-2
1303,Palakkad,Mercy College,"Pallipuram, Adithyapuram, Melamuri, Near Simon Centre, Palakkad, Kerala 678006",University/College,Phase-2
1304,Palakkad,Mini civil station Alathur,"Mini civil station Alathur, Swathy Junction, Palakkad 678541",Civi Station/Mini Civil station,Phase-2
1305,Palakkad,Palakkad District Public Library,"Palakkad District Public Library , Near District Panchayath Office Palakkad pin-678001",Library,Phase-2
1306,Palakkad,PWD Rest House ,"PWD Rest House , College Road,Vidyut Nagar Palakkadpin-678001",Guest House,Phase-2
1307,Palakkad, Grama Panchayath Office Pudussery Palakkad,"Grama Panchayath Office Pudussery Salem-Ernakulam Highway, Kanjikode, Kerala 678621",Panchayat office,Phase-2
1308,Palakkad, Muncipal Office Palakkad," Muncipal Office Palakkad Santhi Nagar, Kunnathurmedu, Palakkad, Kerala 678001",Municipal Office,Phase-2
1309,Palakkad,"Govt hospital Koppam, Pulasserry","Govt hospital Pulasserry Koppam, Palakkad, Kerala 679307",Hospital,Phase-2
1310,Palakkad,Rajiv Gandhi college Attappady,"Rajiv Gandhi college Attappady Attappadi, Kerala 678582",University/College,Phase-2
1311,Palakkad,Mini Civil station Attappadi,"Mini Civil station Attappadi, Agali 678581",Civi Station/Mini Civil station,Phase-2
1312,Palakkad,Park at Rock garden,"Rock Garden, malampuzha-1,Palakkad 678651",Tourist Place,Phase-2
1313,Palakkad,Park at Malampuzha,"Malampuzha Garden, Malampuzha-1, Palakkad 678651",Tourist Place,Phase-2
1314,Palakkad,Chembai Memorial Music college ," Chembai Memorial Music college  College Rd, Parakkunnam, Tharekkad, Palakkad, Kerala 678001",University/College,Phase-2
1315,Palakkad,District and Sessions Court,"Palakkad-Koduvayur, Thathamangalam-Meenakshipuram Highway, Kenathuparambu, Kunathurmedu, Palakkad, Kerala 678001",Court,Phase-2
1316,Palakkad,Govt  College Chittur,"Chittur College Post, Palakkad District, Chittur, Kerala 678104",University/College,Phase-2
